aib_administrative,aib_administrative_duration,aib_bouncerates,aib_browser,aib_exitrates,importsequencenumber,aib_informational,aib_informational_duration,aib_month,aib_name,aib_onlineshopperintentionid,aib_operatingsystems,aib_pagevalues,aib_productrelated,aib_productrelated_duration,aib_region,aib_revenue,aib_specialday,statuscode,statecode,timezoneruleversionnumber,aib_traffictype,utcconversiontimezonecode,versionnumber,aib_visitortype,aib_weekend,owningbusinessunit
1,0,0.2,1,0.2,7,0,0,May,Customer12349,c60ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,1,0,1,FALSE,0.4,Active,Active,,2,,5368250,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.2,2,0.2,7,0,0,Feb,Customer12348,c40ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,1,0,2,FALSE,0,Active,Active,,3,,5368249,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
2,95,0,1,0.02,7,3,48,May,Customer12347,c20ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,9,259.5,1,FALSE,0,Active,Active,,2,,5368248,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.2,2,0.2,7,0,0,Feb,Customer12346,c00ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,1,0,4,FALSE,0,Active,Active,,3,,5368247,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.01,6,0.06,7,0,0,Dec,Customer12345,be0ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,12,262.92,1,FALSE,0,Active,Active,,2,,5368246,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
4,507.33,0,2,0.01,7,2,286.67,Dec,Customer12344,bc0ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,114,3616.01,9,FALSE,0,Active,Active,,1,,5368245,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,,1,0.04,7,0,0,Jul,Customer12343,ba0ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,30,360.47,1,FALSE,0,Active,Active,,3,,5368244,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,,6,0,7,0,0,Oct,Customer12342,b80ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,30,1500.21,1,FALSE,0,Active,Active,,1,,5368243,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
4,305,,2,0.04,7,0,0,Nov,Customer12341,b60ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,16,1090.7,1,FALSE,0,Active,Active,,2,,5368242,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,,2,0.05,7,0,0,Nov,Customer12340,b40ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,4,47,3,FALSE,0,Active,Active,,11,,5368241,Returning_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,,2,0.2,7,0,0,May,Customer12339,b10ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,1,0,4,FALSE,0,Active,Active,,1,,5368240,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
1,19.2,,2,0.03,7,0,0,Oct,Customer12338,af0ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,3,60.6,6,FALSE,0,Active,Active,,6,,5368239,New_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,,4,0.01,7,0,0,Jul,Customer12337,ad0ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,128,2787.69,4,FALSE,0,Active,Active,,1,,5368238,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
8,440.1,,1,0.02,7,7,315,May,Customer12336,ab0ed762-cc7d-ea11-a837-000d3af9a8e2,1,12.08,63,2162.22,1,FALSE,0.2,Active,Active,,2,,5368237,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
4,46.46,,4,0.01,7,0,0,Nov,Customer12335,a90ed762-cc7d-ea11-a837-000d3af9a8e2,2,27.76,82,2875.62,3,TRUE,0,Active,Active,,1,,5368236,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,,1,0.03,7,0,0,Nov,Customer12334,a70ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,63,3301.22,3,FALSE,0,Active,Active,,1,,5368235,Returning_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
7,399.25,,2,0.02,7,1,298,Dec,Customer12333,a50ed762-cc7d-ea11-a837-000d3af9a8e2,3,10.13,85,2409.88,1,FALSE,0,Active,Active,,2,,5368234,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,,2,0.02,7,0,0,May,Customer12332,a30ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,27,352.08,3,FALSE,0,Active,Active,,3,,5368233,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
13,123.88,,2,0.02,7,0,0,Dec,Customer12331,a10ed762-cc7d-ea11-a837-000d3af9a8e2,2,1.77,87,2903.76,3,FALSE,0,Active,Active,,2,,5368232,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,,1,0.04,7,0,0,Jul,Customer12330,9f0ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,47,1153.54,6,FALSE,0,Active,Active,,2,,5368231,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,,1,0.05,7,0,0,Dec,Customer12329,9d0ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,38,1244.35,1,FALSE,0,Active,Active,,2,,5368230,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,,2,0.05,7,1,57,Mar,Customer12328,9b0ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,5,454,3,FALSE,0,Active,Active,,6,,5368229,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
2,32,,2,0.04,7,2,1150,May,Customer12327,990ed762-cc7d-ea11-a837-000d3af9a8e2,2,2.48,58,5072.4,3,FALSE,0.2,Active,Active,,6,,5368228,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,2,0.02,7,0,0,Nov,Customer12326,970ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,20,676.17,3,FALSE,0,Active,Active,,2,,5368227,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,2,0.1,7,0,0,Feb,Customer12325,950ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,2,43,3,FALSE,0.4,Active,Active,,3,,5368226,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.12,2,0.16,7,0,0,Nov,Customer12324,930ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,5,73,2,FALSE,0,Active,Active,,3,,5368225,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,2,0.1,7,0,0,May,Customer12323,910ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,2,37,6,FALSE,0.2,Active,Active,,3,,5368224,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
3,80.6,0.01,2,0.02,7,2,16.2,Oct,Customer12322,8f0ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,33,770.11,1,FALSE,0,Active,Active,,5,,5368223,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.2,2,0.2,7,0,0,May,Customer12321,8c0ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,1,0,1,FALSE,0.6,Active,Active,,1,,5368222,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.07,1,0.09,7,0,0,May,Customer12320,8a0ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,11,126.67,1,FALSE,0.4,Active,Active,,3,,5368221,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
1,12,0,8,0.04,7,0,0,Oct,Customer12319,880ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,4,63.4,6,FALSE,0,Active,Active,,20,,5368220,New_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.07,2,0.13,7,0,0,June,Customer12318,860ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,3,60.4,2,FALSE,0,Active,Active,,1,,5368219,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
2,34.18,0,4,0,7,0,0,Nov,Customer12317,840ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,70,2012.66,3,FALSE,0,Active,Active,,5,,5368218,New_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
3,240.8,0,2,0.01,7,1,4,Nov,Customer12316,820ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,13,279.83,2,FALSE,0,Active,Active,,2,,5368217,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.02,2,0.08,7,0,0,May,Customer12315,800ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,4,44,5,FALSE,0.2,Active,Active,,6,,5368216,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
4,97,0.01,1,0.01,7,0,0,May,Customer12314,7e0ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,22,739.58,6,FALSE,0,Active,Active,,4,,5368215,New_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.01,2,0.03,7,0,0,June,Customer12313,7c0ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,31,464.93,3,FALSE,0,Active,Active,,3,,5368214,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.2,1,0.2,7,0,0,May,Customer12312,7a0ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,1,0,4,FALSE,0,Active,Active,,3,,5368213,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
6,63.68,0.02,2,0.07,7,0,0,June,Customer12311,780ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,8,129.76,3,FALSE,0,Active,Active,,3,,5368212,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
2,10,0,2,0.01,7,5,53,May,Customer12310,760ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,37,1578,7,FALSE,0.8,Active,Active,,4,,5368211,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
4,143.07,0,2,0.01,7,1,6.5,Aug,Customer12309,730ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,74,1294.4,3,FALSE,0,Active,Active,,1,,5368210,Returning_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
6,77,0,2,0.02,7,0,0,May,Customer12308,710ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,42,3436.07,3,FALSE,0,Active,Active,,4,,5368209,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
8,228.5,0,2,0.03,7,0,0,May,Customer12307,6f0ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,5,64.5,3,FALSE,0,Active,Active,,5,,5368208,New_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,2,0.02,7,2,445,Mar,Customer12306,6d0ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,38,996.52,3,FALSE,0,Active,Active,,2,,5368207,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
12,672.1,0,1,0.01,7,2,86,May,Customer12305,6b0ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,23,237.1,2,FALSE,0,Active,Active,,6,,5368206,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.01,2,0.03,7,0,0,May,Customer12304,690ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,22,647.67,4,FALSE,1,Active,Active,,3,,5368205,Returning_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
2,58.4,0.02,2,0.04,7,0,0,June,Customer12303,670ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,84,3528.69,1,FALSE,0,Active,Active,,1,,5368204,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
5,125.1,0.01,2,0.02,7,2,34.6,Aug,Customer12302,650ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,25,887.75,1,FALSE,0,Active,Active,,1,,5368203,Returning_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
7,149.92,0,2,0.01,7,0,0,May,Customer12301,630ed762-cc7d-ea11-a837-000d3af9a8e2,2,19.11,31,1539.79,4,FALSE,0,Active,Active,,2,,5368202,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
4,20.5,0,2,0.01,7,1,59,Dec,Customer12300,610ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,5,83.5,9,FALSE,0,Active,Active,,3,,5368201,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,2,0.03,7,0,0,May,Customer12299,5f0ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,7,855,1,FALSE,0,Active,Active,,1,,5368200,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.1,2,0.15,7,0,0,Sep,Customer12298,5d0ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,2,19.2,3,FALSE,0,Active,Active,,1,,5368199,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,2,0.02,7,0,0,Mar,Customer12297,5b0ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,10,127.5,1,FALSE,0,Active,Active,,10,,5368198,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,4,0.05,7,0,0,Mar,Customer12296,590ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,4,30.5,3,FALSE,0,Active,Active,,3,,5368197,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.07,2,0.1,7,0,0,May,Customer12295,570ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,3,23,1,FALSE,0.6,Active,Active,,3,,5368196,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
3,152,0,2,0.02,7,0,0,May,Customer12294,550ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,9,117,1,FALSE,0,Active,Active,,5,,5368195,New_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
6,198.67,0.01,2,0.02,7,2,89,Nov,Customer12293,530ed762-cc7d-ea11-a837-000d3af9a8e2,2,6.19,148,8178.23,1,TRUE,0,Active,Active,,1,,5368194,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
5,376.8,0,2,0,7,3,105.67,Mar,Customer12292,510ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,6,441.47,1,FALSE,0,Active,Active,,1,,5368193,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,1,0,7,3,482.33,May,Customer12291,4f0ed762-cc7d-ea11-a837-000d3af9a8e2,1,48.87,44,2453.75,8,TRUE,0,Active,Active,,2,,5368192,Returning_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
2,36.75,0.01,1,0.03,7,2,9,Nov,Customer12290,4c0ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,20,393.58,3,FALSE,0,Active,Active,,6,,5368191,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.2,2,0.2,7,0,0,May,Customer12289,4a0ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,1,0,4,FALSE,0,Active,Active,,13,,5368190,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
10,579.13,0,2,0,7,0,0,Oct,Customer12288,480ed762-cc7d-ea11-a837-000d3af9a8e2,2,25.53,22,539.84,3,FALSE,0,Active,Active,,2,,5368189,New_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,2,0.05,7,0,0,Mar,Customer12287,460ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,2,50,8,FALSE,0,Active,Active,,11,,5368188,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,1,0.04,7,0,0,May,Customer12286,440ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,7,355.67,2,FALSE,1,Active,Active,,2,,5368187,Returning_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,2,0.04,7,0,0,May,Customer12285,420ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,15,304.17,1,FALSE,0,Active,Active,,3,,5368186,Returning_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.04,2,0.04,7,2,5,Sep,Customer12284,400ed762-cc7d-ea11-a837-000d3af9a8e2,3,68.75,13,354.28,4,FALSE,0,Active,Active,,4,,5368185,Returning_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,2,0.05,7,0,0,Dec,Customer12283,3e0ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,2,9,3,FALSE,0,Active,Active,,10,,5368184,New_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
1,18.25,0.01,2,0.02,7,0,0,Nov,Customer12282,3c0ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,82,2796.32,1,FALSE,0,Active,Active,,6,,5368183,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
6,241.17,0.01,1,0.02,7,0,0,Mar,Customer12281,3a0ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,39,1513.57,1,FALSE,0,Active,Active,,3,,5368182,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
1,9,0,2,0.01,7,0,0,Jul,Customer12280,380ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,11,269.96,3,FALSE,0,Active,Active,,4,,5368181,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
2,675.33,0,4,0,7,0,0,May,Customer12279,350ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,46,1103.92,4,FALSE,0.8,Active,Active,,4,,5368180,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
10,236.08,0.01,2,0.02,7,2,5,Dec,Customer12278,330ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,107,2589.88,4,FALSE,0,Active,Active,,2,,5368179,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
5,46.52,0.01,1,0.03,7,0,0,Jul,Customer12277,310ed762-cc7d-ea11-a837-000d3af9a8e2,1,6.37,133,2248.91,1,TRUE,0,Active,Active,,4,,5368178,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.03,2,0.04,7,0,0,Mar,Customer12276,2f0ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,30,365.4,6,FALSE,0,Active,Active,,1,,5368177,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.02,2,0.06,7,0,0,June,Customer12275,2d0ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,53,2121.31,1,FALSE,0,Active,Active,,1,,5368176,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,1,0.1,7,0,0,May,Customer12274,2b0ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,2,10,1,FALSE,0,Active,Active,,3,,5368175,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
3,61.27,0,2,0.01,7,0,0,Sep,Customer12273,290ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,7,216.33,1,FALSE,0,Active,Active,,2,,5368174,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,10,0.1,7,0,0,Nov,Customer12272,270ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,1,70.5,1,FALSE,0,Active,Active,,3,,5368173,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.06,5,0.06,7,0,0,May,Customer12271,250ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,8,215,7,FALSE,1,Active,Active,,6,,5368172,Returning_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
17,96.16,0.01,2,0.05,7,5,174.7,Jul,Customer12270,230ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,75,2549.53,4,FALSE,0,Active,Active,,4,,5368171,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
2,47.4,0.04,1,0.08,7,0,0,Jul,Customer12269,210ed762-cc7d-ea11-a837-000d3af9a8e2,4,0,14,478.6,1,FALSE,0,Active,Active,,4,,5368170,Returning_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
2,132.4,0,4,0.02,7,0,0,Sep,Customer12268,1f0ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,11,296.3,3,FALSE,0,Active,Active,,2,,5368169,New_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
2,55.5,0,2,0.06,7,0,0,Dec,Customer12267,1d0ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,2,26,9,TRUE,0,Active,Active,,3,,5368168,Returning_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,4,0.04,7,0,0,May,Customer12266,1a0ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,9,120,9,FALSE,0.8,Active,Active,,2,,5368167,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.01,2,0.02,7,3,584,Nov,Customer12265,180ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,66,2060.51,1,FALSE,0,Active,Active,,1,,5368166,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
8,176.25,0,2,0.01,7,1,141,Nov,Customer12264,160ed762-cc7d-ea11-a837-000d3af9a8e2,2,19.13,20,651.77,4,TRUE,0,Active,Active,,2,,5368165,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.02,7,0.05,7,0,0,May,Customer12263,140ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,17,252,9,FALSE,0.8,Active,Active,,11,,5368164,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.04,2,0.09,7,0,0,Mar,Customer12262,120ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,7,87.71,1,FALSE,0,Active,Active,,3,,5368163,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
1,80,0,1,0.01,7,2,48,May,Customer12261,100ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,25,879.67,4,FALSE,0,Active,Active,,2,,5368162,New_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.02,2,0.03,7,0,0,May,Customer12260,0e0ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,65,1803.58,6,FALSE,0.8,Active,Active,,3,,5368161,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
1,11,0.02,2,0.06,7,3,47.75,Dec,Customer12259,0c0ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,25,1925.98,7,FALSE,0,Active,Active,,2,,5368160,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
5,184.33,0,2,0.01,7,1,108,Mar,Customer12258,0a0ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,10,558.8,7,FALSE,0,Active,Active,,8,,5368159,New_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.2,2,0.2,7,0,0,May,Customer12257,080ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,1,0,1,FALSE,0.4,Active,Active,,1,,5368158,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
4,103.5,0,1,0.01,7,0,0,May,Customer12256,060ed762-cc7d-ea11-a837-000d3af9a8e2,1,0,28,884.8,1,FALSE,0,Active,Active,,4,,5368157,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
