aibtest_age,aibtest_b,aibtest_chas,aibtest_crim,aibtest_dis,aibtest_indus,aibtest_lstat,aibtest_medv,new_expl_3c39f59f_770a_4b1d_baf1_65f95da65b00,new_pred_3c39f59f_770a_4b1d_baf1_65f95da65b00,new_p1_3c39f59f_770a_4b1d_baf1_65f95da65b00,aibtest_nox,aibtest_ptratio,aibtest_rad,aibtest_rm,aibtest_tax,aibtest_uci_boston_housingid,aibtest_zn,importsequencenumber,aibtest_uci_boston_housing_name,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,organizationid
28.8,393.29,0,0.18,2.8,9.69,17.6,23.1,,,,0.58,19.2,6,5.67,391,d57803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390330,d9024a18-5ac4-4fcd-8db4-e74652d96d30
42.6,396.9,0,0.28,2.38,9.69,13.59,24.5,,,,0.58,19.2,6,5.93,391,d47803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390329,d9024a18-5ac4-4fcd-8db4-e74652d96d30
54,396.9,0,0.17,2.38,9.69,12.01,21.8,,,,0.58,19.2,6,5.71,391,d37803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390328,d9024a18-5ac4-4fcd-8db4-e74652d96d30
83.5,396.9,0,0.11,2.11,27.74,13.35,20.1,,,,0.61,20.1,4,5.98,711,d27803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390327,d9024a18-5ac4-4fcd-8db4-e74652d96d30
98.8,390.11,0,0.11,1.87,27.74,18.07,13.6,,,,0.61,20.1,4,5.98,711,d17803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390326,d9024a18-5ac4-4fcd-8db4-e74652d96d30
98,318.43,0,0.21,1.82,27.74,29.68,8.1,,,,0.61,20.1,4,5.09,711,d07803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390325,d9024a18-5ac4-4fcd-8db4-e74652d96d30
98.3,344.05,0,0.18,1.76,27.74,23.97,7,,,,0.61,20.1,4,5.41,711,cf7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390324,d9024a18-5ac4-4fcd-8db4-e74652d96d30
92.7,395.09,0,0.15,1.82,27.74,18.06,15.2,,,,0.61,20.1,4,5.45,711,ce7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390323,d9024a18-5ac4-4fcd-8db4-e74652d96d30
53.2,388.22,0,4.84,3.15,18.1,11.45,20.6,,,,0.58,20.2,24,5.9,666,cd7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390322,d9024a18-5ac4-4fcd-8db4-e74652d96d30
79.8,392.68,0,5.69,3.55,18.1,14.98,19.1,,,,0.58,20.2,24,6.11,666,cc7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390321,d9024a18-5ac4-4fcd-8db4-e74652d96d30
51.9,388.62,0,3.67,3.99,18.1,10.58,21.2,,,,0.58,20.2,24,6.31,666,cb7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390320,d9024a18-5ac4-4fcd-8db4-e74652d96d30
41.9,370.73,0,2.38,3.72,18.1,13.34,20.6,,,,0.58,20.2,24,5.87,666,ca7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390319,d9024a18-5ac4-4fcd-8db4-e74652d96d30
40.3,392.92,0,2.82,4.1,18.1,10.42,21.8,,,,0.53,20.2,24,5.76,666,c97803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390318,d9024a18-5ac4-4fcd-8db4-e74652d96d30
77,395.28,0,5.73,3.41,18.1,7.01,25,,,,0.53,20.2,24,7.06,666,c87803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390317,d9024a18-5ac4-4fcd-8db4-e74652d96d30
74.9,393.07,0,5.71,3.33,18.1,7.74,23.7,,,,0.53,20.2,24,6.75,666,c77803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390316,d9024a18-5ac4-4fcd-8db4-e74652d96d30
64.7,396.9,0,5.82,3.42,18.1,10.74,23,,,,0.53,20.2,24,6.24,666,c67803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390315,d9024a18-5ac4-4fcd-8db4-e74652d96d30
88,383.32,0,14.33,1.95,18.1,13.11,21.4,,,,0.61,20.2,24,6.23,666,c57803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390314,d9024a18-5ac4-4fcd-8db4-e74652d96d30
96.7,379.7,0,10.23,2.17,18.1,18.03,14.6,,,,0.61,20.2,24,6.18,666,c47803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390313,d9024a18-5ac4-4fcd-8db4-e74652d96d30
97.3,349.48,0,15.02,2.1,18.1,24.91,12,,,,0.61,20.2,24,5.3,666,c37803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390312,d9024a18-5ac4-4fcd-8db4-e74652d96d30
93.6,396.21,0,4.87,2.31,18.1,18.68,16.7,,,,0.61,20.2,24,6.48,666,c27803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390311,d9024a18-5ac4-4fcd-8db4-e74652d96d30
97.4,302.76,0,6.39,2.21,18.1,24.1,13.3,,,,0.58,20.2,24,6.16,666,c17803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390310,d9024a18-5ac4-4fcd-8db4-e74652d96d30
95.4,352.58,0,8.06,2.43,18.1,18.14,13.8,,,,0.58,20.2,24,5.43,666,c07803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390309,d9024a18-5ac4-4fcd-8db4-e74652d96d30
67.6,374.68,0,4.65,2.53,18.1,11.66,29.8,,,,0.61,20.2,24,6.98,666,bf7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390308,d9024a18-5ac4-4fcd-8db4-e74652d96d30
75,393.37,0,3.57,2.9,18.1,14.36,23.2,,,,0.58,20.2,24,6.44,666,be7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390307,d9024a18-5ac4-4fcd-8db4-e74652d96d30
90.7,395.33,0,4.04,3.1,18.1,12.87,19.6,,,,0.53,20.2,24,6.23,666,bd7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390306,d9024a18-5ac4-4fcd-8db4-e74652d96d30
84,396.9,0,4.35,3.03,18.1,16.29,19.9,,,,0.58,20.2,24,6.17,666,bc7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390305,d9024a18-5ac4-4fcd-8db4-e74652d96d30
56.7,396.9,0,13.08,2.82,18.1,14.76,20.1,,,,0.58,20.2,24,5.71,666,bb7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390304,d9024a18-5ac4-4fcd-8db4-e74652d96d30
71,368.74,0,15.58,2.91,18.1,18.13,19.1,,,,0.58,20.2,24,5.93,666,ba7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390303,d9024a18-5ac4-4fcd-8db4-e74652d96d30
94.5,331.29,0,4.42,2.54,18.1,21.32,19.1,,,,0.58,20.2,24,6,666,b97803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390302,d9024a18-5ac4-4fcd-8db4-e74652d96d30
84.7,22.01,0,3.77,2.87,18.1,17.15,19,,,,0.66,20.2,24,5.95,666,b87803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390301,d9024a18-5ac4-4fcd-8db4-e74652d96d30
48.2,334.4,0,3.16,3.07,18.1,14.13,19.9,,,,0.66,20.2,24,5.76,666,b77803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390300,d9024a18-5ac4-4fcd-8db4-e74652d96d30
65.4,396.9,0,7.84,2.96,18.1,13.22,21.4,,,,0.66,20.2,24,6.21,666,b67803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390299,d9024a18-5ac4-4fcd-8db4-e74652d96d30
89.9,393.82,0,5.82,2.8,18.1,10.29,20.2,,,,0.71,20.2,24,6.51,666,b57803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390298,d9024a18-5ac4-4fcd-8db4-e74652d96d30
83,396.9,0,6.65,2.73,18.1,13.99,19.5,,,,0.71,20.2,24,6.32,666,b47803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390297,d9024a18-5ac4-4fcd-8db4-e74652d96d30
88.4,391.43,0,3.69,2.57,18.1,14.65,17.7,,,,0.71,20.2,24,6.38,666,b37803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390296,d9024a18-5ac4-4fcd-8db4-e74652d96d30
90,255.23,0,4.81,2.6,18.1,16.42,16.4,,,,0.71,20.2,24,6.7,666,b27803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390295,d9024a18-5ac4-4fcd-8db4-e74652d96d30
84.4,396.9,0,6.8,2.72,18.1,14.7,20,,,,0.71,20.2,24,6.08,666,ac7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390294,d9024a18-5ac4-4fcd-8db4-e74652d96d30
83.7,272.21,0,7.75,2.78,18.1,16.23,14.9,,,,0.71,20.2,24,6.3,666,ab7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390293,d9024a18-5ac4-4fcd-8db4-e74652d96d30
80.3,3.5,0,8.2,2.78,18.1,16.94,13.5,,,,0.71,20.2,24,5.94,666,aa7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390292,d9024a18-5ac4-4fcd-8db4-e74652d96d30
87.9,10.48,0,4.67,2.58,18.1,19.01,12.7,,,,0.71,20.2,24,5.98,666,a97803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390291,d9024a18-5ac4-4fcd-8db4-e74652d96d30
86.5,50.92,0,4.75,2.44,18.1,18.13,14.1,,,,0.71,20.2,24,6.52,666,a87803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390290,d9024a18-5ac4-4fcd-8db4-e74652d96d30
94.1,6.68,0,9.51,2.5,18.1,18.71,14.9,,,,0.71,20.2,24,6.73,666,a77803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390289,d9024a18-5ac4-4fcd-8db4-e74652d96d30
99.3,375.87,0,8.25,2.45,18.1,16.74,17.8,,,,0.71,20.2,24,7.39,666,a67803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390288,d9024a18-5ac4-4fcd-8db4-e74652d96d30
91.8,385.09,0,5.09,2.37,18.1,17.27,16.1,,,,0.71,20.2,24,6.3,666,a57803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390287,d9024a18-5ac4-4fcd-8db4-e74652d96d30
98.2,355.29,0,5.44,2.36,18.1,17.73,15.2,,,,0.71,20.2,24,6.66,666,a47803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390286,d9024a18-5ac4-4fcd-8db4-e74652d96d30
92.6,0.32,0,6.72,2.32,18.1,17.44,13.4,,,,0.71,20.2,24,6.75,666,a37803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390285,d9024a18-5ac4-4fcd-8db4-e74652d96d30
98.3,304.21,0,7.53,2.18,18.1,19.31,13,,,,0.71,20.2,24,6.42,666,a27803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390284,d9024a18-5ac4-4fcd-8db4-e74652d96d30
98.7,396.9,0,9.33,2.26,18.1,18.13,14.1,,,,0.71,20.2,24,6.18,666,a17803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390283,d9024a18-5ac4-4fcd-8db4-e74652d96d30
96.6,388.52,0,9.92,2.2,18.1,16.44,12.6,,,,0.74,20.2,24,6.25,666,a07803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390282,d9024a18-5ac4-4fcd-8db4-e74652d96d30
96.4,318.01,0,6.29,2.07,18.1,17.79,14.9,,,,0.74,20.2,24,6.34,666,9f7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390281,d9024a18-5ac4-4fcd-8db4-e74652d96d30
94.8,43.06,0,10.67,1.99,18.1,23.98,11.8,,,,0.74,20.2,24,6.46,666,9e7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390280,d9024a18-5ac4-4fcd-8db4-e74652d96d30
96.6,240.52,0,12.8,1.9,18.1,23.79,10.8,,,,0.74,20.2,24,5.85,666,9d7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390279,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,386.73,0,9.97,1.98,18.1,18.85,15.4,,,,0.74,20.2,24,6.48,666,9c7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390278,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,395.69,0,5.67,2,18.1,16.59,18.4,,,,0.74,20.2,24,6.22,666,9b7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390277,d9024a18-5ac4-4fcd-8db4-e74652d96d30
97.2,385.96,0,9.72,2.07,18.1,19.52,17.1,,,,0.74,20.2,24,6.41,666,997803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390276,d9024a18-5ac4-4fcd-8db4-e74652d96d30
92.4,391.45,0,22.05,1.87,18.1,22.11,10.5,,,,0.74,20.2,24,5.82,666,977803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390275,d9024a18-5ac4-4fcd-8db4-e74652d96d30
93.9,396.9,0,9.39,1.82,18.1,22.88,12.8,,,,0.74,20.2,24,5.63,666,967803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390274,d9024a18-5ac4-4fcd-8db4-e74652d96d30
87.9,68.95,0,13.68,1.82,18.1,34.02,8.4,,,,0.74,20.2,24,5.94,666,957803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390273,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,9.32,0,15.18,1.91,18.1,26.45,8.7,,,,0.74,20.2,24,6.15,666,947803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390272,d9024a18-5ac4-4fcd-8db4-e74652d96d30
93.3,27.49,0,14.42,2,18.1,18.05,9.6,,,,0.74,20.2,24,6.46,666,927803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390271,d9024a18-5ac4-4fcd-8db4-e74652d96d30
94.6,109.85,0,11.16,2.12,18.1,23.27,13.4,,,,0.74,20.2,24,6.63,666,917803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390270,d9024a18-5ac4-4fcd-8db4-e74652d96d30
95,100.63,0,13.91,2.22,18.1,15.17,11.7,,,,0.71,20.2,24,6.21,666,907803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390269,d9024a18-5ac4-4fcd-8db4-e74652d96d30
87.9,100.19,0,5.58,2.32,18.1,16.22,14.3,,,,0.71,20.2,24,6.44,666,8f7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390268,d9024a18-5ac4-4fcd-8db4-e74652d96d30
74.8,97.95,0,6.44,2.2,18.1,12.03,16.1,,,,0.58,20.2,24,6.42,666,8e7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390267,d9024a18-5ac4-4fcd-8db4-e74652d96d30
94.3,81.33,0,10.06,2.09,18.1,19.69,14.1,,,,0.58,20.2,24,6.83,666,8c7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390266,d9024a18-5ac4-4fcd-8db4-e74652d96d30
86.1,83.45,0,8.49,2.05,18.1,17.64,14.5,,,,0.58,20.2,24,6.35,666,8b7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390265,d9024a18-5ac4-4fcd-8db4-e74652d96d30
95.6,60.72,0,9.34,1.97,18.1,24.08,9.5,,,,0.68,20.2,24,6.38,666,8a7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390264,d9024a18-5ac4-4fcd-8db4-e74652d96d30
78.1,96.73,0,7.37,1.94,18.1,21.52,11,,,,0.68,20.2,24,6.19,666,897803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390263,d9024a18-5ac4-4fcd-8db4-e74652d96d30
78.7,18.82,0,37.66,1.86,18.1,14.52,10.9,,,,0.68,20.2,24,6.2,666,887803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390262,d9024a18-5ac4-4fcd-8db4-e74652d96d30
59.7,24.65,0,12.25,2,18.1,15.69,10.2,,,,0.58,20.2,24,5.84,666,877803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390261,d9024a18-5ac4-4fcd-8db4-e74652d96d30
95.4,7.68,0,15.86,1.91,18.1,24.39,8.3,,,,0.68,20.2,24,5.9,666,857803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390260,d9024a18-5ac4-4fcd-8db4-e74652d96d30
70.6,3.65,0,8.79,2.06,18.1,17.16,11.7,,,,0.58,20.2,24,5.56,666,847803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390259,d9024a18-5ac4-4fcd-8db4-e74652d96d30
85.1,2.52,0,7.05,2.02,18.1,23.29,13.4,,,,0.61,20.2,24,6.1,666,837803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390258,d9024a18-5ac4-4fcd-8db4-e74652d96d30
87.6,291.55,0,12.05,1.95,18.1,14.1,20.8,,,,0.61,20.2,24,5.65,666,827803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390257,d9024a18-5ac4-4fcd-8db4-e74652d96d30
95.3,319.98,0,7.02,1.87,18.1,15.7,14.2,,,,0.72,20.2,24,6.01,666,817803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390256,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,318.75,0,11.09,1.86,18.1,15.02,16.7,,,,0.72,20.2,24,6.41,666,807803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390255,d9024a18-5ac4-4fcd-8db4-e74652d96d30
76.5,48.45,0,11.81,1.79,18.1,22.74,8.4,,,,0.72,20.2,24,6.82,666,7f7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390254,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,16.45,0,73.53,1.8,18.1,20.62,8.8,,,,0.68,20.2,24,5.96,666,7e7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390253,d9024a18-5ac4-4fcd-8db4-e74652d96d30
89.1,127.36,0,25.94,1.65,18.1,26.64,10.4,,,,0.68,20.2,24,5.3,666,7d7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390252,d9024a18-5ac4-4fcd-8db4-e74652d96d30
90.8,21.57,0,10.83,1.82,18.1,25.79,7.5,,,,0.68,20.2,24,6.78,666,7c7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390251,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,27.25,0,18.08,1.83,18.1,29.05,7.2,,,,0.68,20.2,24,6.43,666,7b7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390250,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,88.27,0,45.75,1.66,18.1,36.98,7,,,,0.69,20.2,24,4.52,666,7a7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390249,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,210.97,0,28.66,1.59,18.1,20.08,16.3,,,,0.6,20.2,24,5.16,666,787803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390248,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,28.79,0,18.81,1.55,18.1,34.37,17.9,,,,0.6,20.2,24,4.63,666,777803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390247,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,35.05,0,14.05,1.53,18.1,21.22,17.2,,,,0.6,20.2,24,6.66,666,767803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390246,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,2.6,0,51.14,1.41,18.1,10.11,15,,,,0.6,20.2,24,5.76,666,757803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390245,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,179.36,0,14.44,1.47,18.1,19.78,27.5,,,,0.6,20.2,24,6.85,666,747803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390244,d9024a18-5ac4-4fcd-8db4-e74652d96d30
97.9,314.64,0,7.4,1.45,18.1,26.4,17.2,,,,0.6,20.2,24,5.62,666,737803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390243,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,332.09,0,11.95,1.29,18.1,12.13,27.9,,,,0.66,20.2,24,5.61,666,717803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390242,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,370.22,0,20.72,1.18,18.1,23.34,11.9,,,,0.66,20.2,24,4.14,666,707803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390241,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,384.97,0,67.92,1.43,18.1,22.98,5,,,,0.69,20.2,24,5.68,666,6f7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390240,d9024a18-5ac4-4fcd-8db4-e74652d96d30
85.4,329.46,0,41.53,1.61,18.1,27.38,8.5,,,,0.69,20.2,24,5.53,666,6e7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390239,d9024a18-5ac4-4fcd-8db4-e74652d96d30
96,396.9,0,24.8,1.7,18.1,19.77,8.3,,,,0.69,20.2,24,5.35,666,6d7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390238,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,376.11,0,9.6,1.64,18.1,20.31,12.1,,,,0.69,20.2,24,6.4,666,6c7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390237,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,396.9,0,14.24,1.57,18.1,20.32,7.2,,,,0.69,20.2,24,6.34,666,6b7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390236,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,396.9,0,25.05,1.59,18.1,26.77,5.6,,,,0.69,20.2,24,5.99,666,697803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390235,d9024a18-5ac4-4fcd-8db4-e74652d96d30
77.8,338.16,0,9.92,1.5,18.1,29.97,6.3,,,,0.69,20.2,24,5.85,666,657803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390234,d9024a18-5ac4-4fcd-8db4-e74652d96d30
100,396.9,0,38.35,1.49,18.1,30.59,5,,,,0.69,20.2,24,5.45,666,637803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390233,d9024a18-5ac4-4fcd-8db4-e74652d96d30
98.9,393.1,0,7.67,1.63,18.1,19.92,8.5,,,,0.69,20.2,24,5.75,666,627803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390232,d9024a18-5ac4-4fcd-8db4-e74652d96d30
96,396.9,0,5.87,1.68,18.1,19.37,12.5,,,,0.69,20.2,24,6.4,666,617803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390231,d9024a18-5ac4-4fcd-8db4-e74652d96d30
98.8,391.98,0,8.72,1.73,18.1,17.12,13.1,,,,0.69,20.2,24,6.47,666,5f7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390230,d9024a18-5ac4-4fcd-8db4-e74652d96d30
94.7,396.9,0,13.36,1.78,18.1,16.35,12.7,,,,0.69,20.2,24,5.89,666,5e7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390229,d9024a18-5ac4-4fcd-8db4-e74652d96d30
92.6,396.9,0,8.64,1.79,18.1,15.17,13.8,,,,0.69,20.2,24,6.19,666,5d7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390228,d9024a18-5ac4-4fcd-8db4-e74652d96d30
97,396.9,0,11.58,1.77,18.1,25.68,9.7,,,,0.7,20.2,24,5.04,666,241e0bf0-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390227,d9024a18-5ac4-4fcd-8db4-e74652d96d30
